items,hedge,keys,size,p
1,1,3,1,0.5
2,1.5,3,3,0.5
3,1.333333,3,4,0.5
4,1.5,3,6,0.5
5,1.6,3,8,0.5
6,1.5,3,9,0.5
7,1.571429,3,11,0.5
8,1.5,3,12,0.5
9,1.555556,3,14,0.5
10,1.5,3,15,0.5
11,1.454545,3,16,0.5
12,1.5,3,18,0.5
13,1.461538,3,19,0.5
14,1.5,3,21,0.5
15,1.466667,3,22,0.5
16,1.4375,3,23,0.5
17,1.470588,3,25,0.5
18,1.444444,3,26,0.5
19,1.421053,3,27,0.5
20,1.45,3,29,0.5
21,1.428571,3,30,0.5
22,1.409091,3,31,0.5
23,1.434783,3,33,0.5
24,1.416667,3,34,0.5
25,1.4,3,35,0.5
26,1.384615,3,36,0.5
27,1.407407,3,38,0.5
28,1.392857,3,39,0.5
29,1.37931,3,40,0.5
30,1.4,3,42,0.5
31,1.387097,3,43,0.5
32,1.375,3,44,0.5
33,1.393939,3,46,0.5
34,1.382353,3,47,0.5
35,1.371429,3,48,0.5
36,1.388889,3,50,0.5
37,1.378378,3,51,0.5
38,1.394737,3,52,0.5
39,1.358974,3,53,0.5
40,1.375,3,55,0.5
41,1.390244,3,56,0.5
42,1.357143,3,57,0.5
43,1.325581,3,56,0.5
44,1.363636,3,59,0.5
45,1.355556,3,61,0.5
46,1.347826,3,62,0.5
47,1.361702,3,64,0.5
48,1.354167,3,65,0.5
49,1.346939,3,66,0.5
1,1,3,1,0.666667
2,1.5,3,3,0.666667
3,1.666667,3,5,0.666667
4,1.75,3,7,0.666667
5,1.8,3,9,0.666667
6,1.666667,3,10,0.666667
7,1.714286,3,12,0.666667
8,1.75,3,14,0.666667
9,1.555556,3,14,0.666667
10,1.7,3,17,0.666667
11,1.636364,3,18,0.666667
12,1.666667,3,20,0.666667
13,1.615385,3,21,0.666667
14,1.642857,3,23,0.666667
15,1.6,3,24,0.666667
16,1.5625,3,25,0.666667
17,1.588235,3,27,0.666667
18,1.555556,3,28,0.666667
19,1.526316,3,29,0.666667
20,1.55,3,31,0.666667
21,1.52381,3,32,0.666667
22,1.545455,3,34,0.666667
23,1.521739,3,35,0.666667
24,1.5,3,36,0.666667
25,1.52,3,38,0.666667
26,1.5,3,39,0.666667
27,1.481481,3,40,0.666667
28,1.5,3,42,0.666667
29,1.482759,3,43,0.666667
30,1.466667,3,44,0.666667
31,1.451613,3,45,0.666667
32,1.46875,3,47,0.666667
33,1.454545,3,48,0.666667
34,1.470588,3,50,0.666667
35,1.457143,3,51,0.666667
36,1.444444,3,52,0.666667
37,1.432432,3,53,0.666667
38,1.421053,3,54,0.666667
39,1.435897,3,56,0.666667
40,1.425,3,57,0.666667
41,1.390244,3,56,0.666667
42,1.404762,3,58,0.666667
43,1.44186,3,61,0.666667
44,1.409091,3,62,0.666667
45,1.4,3,62,0.666667
46,1.413043,3,65,0.666667
47,1.404255,3,66,0.666667
48,1.395833,3,67,0.666667
49,1.408163,3,69,0.666667
1,2,3,2,0.75
2,2,3,4,0.75
3,2,3,6,0.75
4,2,3,8,0.75
5,2,3,10,0.75
6,1.833333,3,11,0.75
7,1.857143,3,13,0.75
8,1.875,3,15,0.75
9,1.888889,3,17,0.75
10,1.8,3,18,0.75
11,1.818182,3,20,0.75
12,1.75,3,21,0.75
13,1.692308,4,22,0.75
14,1.714286,3,24,0.75
15,1.666667,4,25,0.75
16,1.6875,3,27,0.75
17,1.647059,3,28,0.75
18,1.611111,4,29,0.75
19,1.631579,3,31,0.75
20,1.6,4,32,0.75
21,1.619048,3,34,0.75
22,1.590909,3,35,0.75
23,1.565217,4,36,0.75
24,1.541667,4,37,0.75
25,1.56,4,39,0.75
26,1.538462,4,40,0.75
27,1.555556,4,42,0.75
28,1.535714,4,43,0.75
29,1.517241,4,44,0.75
30,1.5,4,45,0.75
31,1.516129,4,47,0.75
32,1.5,4,48,0.75
33,1.515152,3,50,0.75
34,1.5,4,51,0.75
35,1.485714,4,52,0.75
36,1.5,3,54,0.75
37,1.486486,3,55,0.75
38,1.473684,4,56,0.75
39,1.487179,3,58,0.75
40,1.475,3,59,0.75
41,1.463415,4,60,0.75
42,1.47619,3,62,0.75
43,1.465116,3,63,0.75
44,1.454545,3,64,0.75
45,1.466667,3,66,0.75
46,1.456522,3,67,0.75
47,1.446809,3,68,0.75
48,1.4375,3,69,0.75
49,1.44898,3,71,0.75
1,2,3,2,0.8
2,2,3,4,0.8
3,2.333333,3,7,0.8
4,2.25,3,9,0.8
5,2.2,3,11,0.8
6,2,3,12,0.8
7,2,3,14,0.8
8,2,3,16,0.8
9,1.888889,5,17,0.8
10,1.9,3,19,0.8
11,1.818182,5,20,0.8
12,1.833333,3,22,0.8
13,1.769231,4,23,0.8
14,1.785714,3,25,0.8
15,1.733333,4,26,0.8
16,1.75,4,28,0.8
17,1.705882,4,29,0.8
18,1.666667,4,30,0.8
19,1.684211,4,32,0.8
20,1.65,4,33,0.8
21,1.619048,4,34,0.8
22,1.636364,4,36,0.8
23,1.608696,4,37,0.8
24,1.583333,4,38,0.8
25,1.56,4,39,0.8
26,1.576923,4,41,0.8
27,1.555556,4,42,0.8
28,1.571429,4,44,0.8
29,1.551724,4,45,0.8
30,1.533333,4,46,0.8
31,1.548387,4,48,0.8
32,1.53125,4,49,0.8
33,1.515152,4,50,0.8
34,1.529412,3,52,0.8
35,1.514286,4,53,0.8
36,1.527778,4,55,0.8
37,1.513514,4,56,0.8
38,1.5,3,57,0.8
39,1.487179,4,58,0.8
40,1.5,3,60,0.8
41,1.487805,4,61,0.8
42,1.5,3,63,0.8
43,1.488372,3,64,0.8
44,1.477273,4,65,0.8
45,1.488889,3,67,0.8
46,1.478261,4,68,0.8
47,1.468085,4,69,0.8
48,1.479167,3,71,0.8
49,1.469388,4,72,0.8
1,2,3,2,0.833333
2,2.5,3,5,0.833333
3,2.333333,3,7,0.833333
4,2.25,3,9,0.833333
5,2.2,3,11,0.833333
6,2.166667,3,13,0.833333
7,2,5,14,0.833333
8,2,5,16,0.833333
9,2,3,18,0.833333
10,1.9,5,19,0.833333
11,1.909091,3,21,0.833333
12,1.833333,5,22,0.833333
13,1.846154,4,24,0.833333
14,1.785714,4,25,0.833333
15,1.733333,4,26,0.833333
16,1.75,4,28,0.833333
17,1.764706,4,30,0.833333
18,1.722222,4,31,0.833333
19,1.736842,4,33,0.833333
20,1.7,4,34,0.833333
21,1.666667,4,35,0.833333
22,1.636364,4,36,0.833333
23,1.652174,4,38,0.833333
24,1.625,4,39,0.833333
25,1.6,4,40,0.833333
26,1.615385,4,42,0.833333
27,1.592593,4,43,0.833333
28,1.571429,4,44,0.833333
29,1.586207,4,46,0.833333
30,1.566667,4,47,0.833333
31,1.548387,4,48,0.833333
32,1.5625,4,50,0.833333
33,1.545455,4,51,0.833333
34,1.529412,4,52,0.833333
35,1.542857,4,54,0.833333
36,1.527778,4,55,0.833333
37,1.513514,4,56,0.833333
38,1.5,4,57,0.833333
39,1.512821,4,59,0.833333
40,1.5,4,60,0.833333
41,1.512195,4,62,0.833333
42,1.5,4,63,0.833333
43,1.511628,4,65,0.833333
44,1.5,4,66,0.833333
45,1.511111,3,68,0.833333
46,1.5,4,69,0.833333
47,1.489362,4,70,0.833333
48,1.479167,4,71,0.833333
49,1.489796,4,73,0.833333
1,2,3,2,0.857143
2,2.5,3,5,0.857143
3,2.666667,3,8,0.857143
4,2.5,3,10,0.857143
5,2.2,5,11,0.857143
6,2.166667,3,13,0.857143
7,2.142857,3,15,0.857143
8,2.125,3,17,0.857143
9,2,5,18,0.857143
10,2,4,20,0.857143
11,1.909091,5,21,0.857143
12,1.916667,4,23,0.857143
13,1.846154,5,24,0.857143
14,1.857143,4,26,0.857143
15,1.8,5,27,0.857143
16,1.8125,4,29,0.857143
17,1.764706,4,30,0.857143
18,1.777778,4,32,0.857143
19,1.736842,4,33,0.857143
20,1.7,4,34,0.857143
21,1.666667,4,35,0.857143
22,1.681818,4,37,0.857143
23,1.652174,4,38,0.857143
24,1.625,4,39,0.857143
25,1.64,4,41,0.857143
26,1.615385,4,42,0.857143
27,1.62963,4,44,0.857143
28,1.607143,4,45,0.857143
29,1.586207,4,46,0.857143
30,1.6,4,48,0.857143
31,1.580645,4,49,0.857143
32,1.5625,4,50,0.857143
33,1.575758,4,52,0.857143
34,1.529412,4,52,0.857143
35,1.542857,4,54,0.857143
36,1.555556,4,56,0.857143
37,1.540541,4,57,0.857143
38,1.552632,4,59,0.857143
39,1.538462,4,60,0.857143
40,1.525,4,61,0.857143
41,1.536585,4,63,0.857143
42,1.52381,4,64,0.857143
43,1.511628,4,65,0.857143
44,1.522727,4,67,0.857143
45,1.511111,4,68,0.857143
46,1.5,4,69,0.857143
47,1.510638,4,71,0.857143
48,1.5,4,72,0.857143
49,1.489796,4,73,0.857143
1,3,3,3,0.875
2,3,3,6,0.875
3,2.666667,3,8,0.875
4,2.5,3,10,0.875
5,2.4,3,12,0.875
6,2.166667,3,13,0.875
7,2.142857,5,15,0.875
8,2.125,5,17,0.875
9,2,5,18,0.875
10,2,5,20,0.875
11,2,5,22,0.875
12,1.916667,5,23,0.875
13,1.923077,4,25,0.875
14,1.857143,5,26,0.875
15,1.866667,4,28,0.875
16,1.8125,4,29,0.875
17,1.823529,4,31,0.875
18,1.777778,4,32,0.875
19,1.736842,4,33,0.875
20,1.75,4,35,0.875
21,1.714286,4,36,0.875
22,1.681818,4,37,0.875
23,1.695652,4,39,0.875
24,1.666667,4,40,0.875
25,1.64,4,41,0.875
26,1.653846,4,43,0.875
27,1.62963,4,44,0.875
28,1.642857,4,46,0.875
29,1.62069,4,47,0.875
30,1.6,4,48,0.875
31,1.612903,4,50,0.875
32,1.59375,4,51,0.875
33,1.575758,4,52,0.875
34,1.529412,4,52,0.875
35,1.571429,4,55,0.875
36,1.555556,4,56,0.875
37,1.567568,4,58,0.875
38,1.552632,4,59,0.875
39,1.538462,4,60,0.875
40,1.55,4,62,0.875
41,1.536585,4,63,0.875
42,1.52381,4,64,0.875
43,1.534884,4,66,0.875
44,1.522727,4,67,0.875
45,1.511111,4,68,0.875
46,1.521739,4,70,0.875
47,1.510638,4,71,0.875
48,1.520833,4,73,0.875
49,1.510204,4,74,0.875
1,3,3,3,0.888889
2,3,3,6,0.888889
3,2.666667,3,8,0.888889
4,2.5,5,10,0.888889
5,2.4,5,12,0.888889
6,2.166667,5,13,0.888889
7,2.142857,5,15,0.888889
8,2.125,5,17,0.888889
9,2.111111,5,19,0.888889
10,2,5,20,0.888889
11,2,5,22,0.888889
12,1.916667,5,23,0.888889
13,1.923077,5,25,0.888889
14,1.857143,5,26,0.888889
15,1.866667,5,28,0.888889
16,1.875,4,30,0.888889
17,1.823529,4,31,0.888889
18,1.833333,4,33,0.888889
19,1.789474,4,34,0.888889
20,1.75,4,35,0.888889
21,1.761905,4,37,0.888889
22,1.727273,4,38,0.888889
23,1.695652,4,39,0.888889
24,1.708333,4,41,0.888889
25,1.68,4,42,0.888889
26,1.653846,4,43,0.888889
27,1.666667,4,45,0.888889
28,1.642857,4,46,0.888889
29,1.655172,4,48,0.888889
30,1.633333,4,49,0.888889
31,1.612903,4,50,0.888889
32,1.59375,4,51,0.888889
33,1.606061,4,53,0.888889
34,1.588235,4,54,0.888889
35,1.571429,4,55,0.888889
36,1.583333,4,57,0.888889
37,1.567568,4,58,0.888889
38,1.578947,4,60,0.888889
39,1.589744,4,61,0.888889
40,1.55,4,62,0.888889
41,1.536585,4,63,0.888889
42,1.547619,4,65,0.888889
43,1.534884,4,66,0.888889
44,1.522727,4,67,0.888889
45,1.533333,4,69,0.888889
46,1.521739,4,70,0.888889
47,1.510638,4,71,0.888889
48,1.520833,4,73,0.888889
49,1.510204,4,74,0.888889
1,3,3,3,0.909091
2,3.5,3,7,0.909091
3,3,3,9,0.909091
4,2.75,5,11,0.909091
5,2.4,5,12,0.909091
6,2.166667,5,13,0.909091
7,2.285714,5,16,0.909091
8,2.125,5,17,0.909091
9,2.111111,5,19,0.909091
10,2.1,5,21,0.909091
11,2,5,22,0.909091
12,2,4,24,0.909091
13,1.923077,5,25,0.909091
14,1.928571,5,27,0.909091
15,1.866667,5,28,0.909091
16,1.875,5,30,0.909091
17,1.823529,5,31,0.909091
18,1.833333,5,33,0.909091
19,1.842105,4,35,0.909091
20,1.8,4,36,0.909091
21,1.809524,4,38,0.909091
22,1.772727,5,39,0.909091
23,1.73913,4,40,0.909091
24,1.75,4,42,0.909091
25,1.72,4,43,0.909091
26,1.692308,4,44,0.909091
27,1.666667,4,45,0.909091
28,1.678571,4,47,0.909091
29,1.655172,4,48,0.909091
30,1.633333,4,49,0.909091
31,1.645161,4,51,0.909091
32,1.625,4,52,0.909091
33,1.606061,4,53,0.909091
34,1.617647,4,55,0.909091
35,1.628571,4,57,0.909091
36,1.611111,4,58,0.909091
37,1.594595,4,59,0.909091
38,1.578947,4,60,0.909091
39,1.589744,4,61,0.909091
40,1.575,4,63,0.909091
41,1.585366,4,65,0.909091
42,1.571429,4,66,0.909091
43,1.55814,4,67,0.909091
44,1.568182,4,69,0.909091
45,1.555556,4,70,0.909091
46,1.543478,4,71,0.909091
47,1.531915,4,72,0.909091
48,1.541667,4,74,0.909091
49,1.530612,4,75,0.909091
1,3,3,3,0.916667
2,3,3,6,0.916667
3,3,5,9,0.916667
4,2.75,5,11,0.916667
5,2.6,5,13,0.916667
6,2.166667,5,13,0.916667
7,2.285714,5,16,0.916667
8,2.25,5,18,0.916667
9,2.111111,5,19,0.916667
10,2.1,5,21,0.916667
11,2,5,22,0.916667
12,2,5,24,0.916667
13,2,5,26,0.916667
14,1.928571,5,27,0.916667
15,1.933333,5,29,0.916667
16,1.875,5,30,0.916667
17,1.882353,5,32,0.916667
18,1.833333,5,33,0.916667
19,1.842105,5,35,0.916667
20,1.8,5,36,0.916667
21,1.809524,5,38,0.916667
22,1.772727,5,39,0.916667
23,1.782609,4,41,0.916667
24,1.75,5,42,0.916667
25,1.76,4,44,0.916667
26,1.730769,4,45,0.916667
27,1.703704,4,46,0.916667
28,1.678571,4,47,0.916667
29,1.689655,4,49,0.916667
30,1.633333,4,49,0.916667
31,1.677419,4,52,0.916667
32,1.65625,4,53,0.916667
33,1.606061,4,53,0.916667
34,1.617647,4,55,0.916667
35,1.628571,4,57,0.916667
36,1.611111,4,58,0.916667
37,1.594595,4,59,0.916667
38,1.578947,4,60,0.916667
39,1.589744,4,61,0.916667
40,1.575,4,63,0.916667
41,1.585366,4,65,0.916667
42,1.571429,4,66,0.916667
43,1.581395,4,68,0.916667
44,1.545455,4,68,0.916667
45,1.555556,4,70,0.916667
46,1.565217,4,72,0.916667
47,1.553191,4,73,0.916667
48,1.541667,4,74,0.916667
49,1.55102,4,76,0.916667
1,3,3,3,0.9
2,3,3,6,0.9
3,3,3,9,0.9
4,2.5,5,10,0.9
5,2.4,5,12,0.9
6,2.166667,5,13,0.9
7,2.285714,5,16,0.9
8,2.125,5,17,0.9
9,2.111111,5,19,0.9
10,2.1,5,21,0.9
11,2,5,22,0.9
12,2,4,24,0.9
13,1.923077,5,25,0.9
14,1.928571,5,27,0.9
15,1.866667,5,28,0.9
16,1.875,5,30,0.9
17,1.823529,4,31,0.9
18,1.833333,4,33,0.9
19,1.789474,5,34,0.9
20,1.8,4,36,0.9
21,1.761905,5,37,0.9
22,1.772727,4,39,0.9
23,1.73913,4,40,0.9
24,1.708333,4,41,0.9
25,1.72,4,43,0.9
26,1.692308,4,44,0.9
27,1.666667,4,45,0.9
28,1.678571,4,47,0.9
29,1.655172,4,48,0.9
30,1.633333,4,49,0.9
31,1.645161,4,51,0.9
32,1.625,4,52,0.9
33,1.606061,4,53,0.9
34,1.588235,4,54,0.9
35,1.6,4,56,0.9
36,1.583333,4,57,0.9
37,1.567568,4,58,0.9
38,1.578947,4,60,0.9
39,1.589744,4,61,0.9
40,1.55,4,62,0.9
41,1.560976,4,64,0.9
42,1.547619,4,65,0.9
43,1.55814,4,67,0.9
44,1.545455,4,68,0.9
45,1.533333,4,69,0.9
46,1.543478,4,71,0.9
47,1.531915,4,72,0.9
48,1.520833,4,73,0.9
49,1.530612,4,75,0.9
1,3,3,3,0.923077
2,3.5,3,7,0.923077
3,3,5,9,0.923077
4,2.75,5,11,0.923077
5,2.6,5,13,0.923077
6,2.5,5,15,0.923077
7,2.285714,5,16,0.923077
8,2.25,5,18,0.923077
9,2.111111,5,19,0.923077
10,2.1,5,21,0.923077
11,2.090909,5,23,0.923077
12,2,5,24,0.923077
13,2,5,26,0.923077
14,1.928571,5,27,0.923077
15,1.933333,5,29,0.923077
16,1.875,5,30,0.923077
17,1.882353,5,32,0.923077
18,1.888889,5,34,0.923077
19,1.842105,5,35,0.923077
20,1.8,5,36,0.923077
21,1.809524,5,38,0.923077
22,1.818182,4,40,0.923077
23,1.782609,4,41,0.923077
24,1.791667,4,43,0.923077
25,1.76,4,44,0.923077
26,1.769231,4,46,0.923077
27,1.740741,4,47,0.923077
28,1.714286,4,48,0.923077
29,1.724138,4,50,0.923077
30,1.7,4,51,0.923077
31,1.677419,4,52,0.923077
32,1.65625,4,53,0.923077
33,1.606061,4,53,0.923077
34,1.647059,4,56,0.923077
35,1.628571,4,57,0.923077
36,1.611111,4,58,0.923077
37,1.594595,4,59,0.923077
38,1.578947,4,60,0.923077
39,1.589744,4,61,0.923077
40,1.6,4,64,0.923077
41,1.585366,4,65,0.923077
42,1.571429,4,66,0.923077
43,1.581395,4,68,0.923077
44,1.568182,4,69,0.923077
45,1.577778,4,71,0.923077
46,1.565217,4,72,0.923077
47,1.553191,4,73,0.923077
48,1.541667,4,74,0.923077
49,1.55102,4,76,0.923077
1,3,3,3,0.928571
2,3.5,3,7,0.928571
3,3,5,9,0.928571
4,2.75,5,11,0.928571
5,2.6,5,13,0.928571
6,2.5,5,15,0.928571
7,2.285714,5,16,0.928571
8,2.25,5,18,0.928571
9,2.222222,5,20,0.928571
10,2.1,5,21,0.928571
11,2.090909,5,23,0.928571
12,2,5,24,0.928571
13,2,5,26,0.928571
14,1.928571,5,27,0.928571
15,1.933333,5,29,0.928571
16,1.9375,5,31,0.928571
17,1.882353,5,32,0.928571
18,1.888889,5,34,0.928571
19,1.842105,5,35,0.928571
20,1.85,5,37,0.928571
21,1.809524,5,38,0.928571
22,1.818182,4,40,0.928571
23,1.782609,5,41,0.928571
24,1.791667,4,43,0.928571
25,1.76,4,44,0.928571
26,1.769231,4,46,0.928571
27,1.740741,4,47,0.928571
28,1.714286,4,48,0.928571
29,1.724138,4,50,0.928571
30,1.7,4,51,0.928571
31,1.677419,4,52,0.928571
32,1.6875,4,54,0.928571
33,1.666667,4,55,0.928571
34,1.647059,4,56,0.928571
35,1.628571,4,57,0.928571
36,1.638889,4,59,0.928571
37,1.594595,4,59,0.928571
38,1.631579,4,62,0.928571
39,1.615385,4,63,0.928571
40,1.6,4,64,0.928571
41,1.585366,4,65,0.928571
42,1.595238,4,67,0.928571
43,1.581395,4,68,0.928571
44,1.568182,4,69,0.928571
45,1.577778,4,71,0.928571
46,1.565217,4,72,0.928571
47,1.553191,4,73,0.928571
48,1.5625,4,75,0.928571
49,1.55102,4,76,0.928571
1,4,3,4,0.933333
2,3.5,3,7,0.933333
3,3.333333,3,10,0.933333
4,3,5,12,0.933333
5,2.6,5,13,0.933333
6,2.5,5,15,0.933333
7,2.428571,5,17,0.933333
8,2.25,5,18,0.933333
9,2.222222,5,20,0.933333
10,2.1,5,21,0.933333
11,2.090909,5,23,0.933333
12,2,5,24,0.933333
13,2,5,26,0.933333
14,1.928571,5,27,0.933333
15,1.933333,5,29,0.933333
16,1.9375,5,31,0.933333
17,1.882353,5,32,0.933333
18,1.888889,5,34,0.933333
19,1.842105,5,35,0.933333
20,1.85,5,37,0.933333
21,1.809524,5,38,0.933333
22,1.818182,5,40,0.933333
23,1.826087,5,42,0.933333
24,1.791667,4,43,0.933333
25,1.76,5,44,0.933333
26,1.769231,4,46,0.933333
27,1.740741,4,47,0.933333
28,1.75,4,49,0.933333
29,1.724138,4,50,0.933333
30,1.733333,4,52,0.933333
31,1.709677,4,53,0.933333
32,1.6875,4,54,0.933333
33,1.666667,4,55,0.933333
34,1.647059,4,56,0.933333
35,1.628571,4,57,0.933333
36,1.638889,4,59,0.933333
37,1.594595,4,59,0.933333
38,1.578947,4,60,0.933333
39,1.615385,4,63,0.933333
40,1.625,4,65,0.933333
41,1.609756,4,66,0.933333
42,1.595238,4,67,0.933333
43,1.581395,4,68,0.933333
44,1.590909,4,70,0.933333
45,1.577778,4,71,0.933333
46,1.565217,4,72,0.933333
47,1.553191,4,73,0.933333
48,1.583333,4,76,0.933333
49,1.55102,4,76,0.933333
1,4,3,4,0.9375
2,3.5,3,7,0.9375
3,3,5,9,0.9375
4,3,5,12,0.9375
5,2.6,5,13,0.9375
6,2.5,5,15,0.9375
7,2.428571,5,17,0.9375
8,2.25,5,18,0.9375
9,2.222222,5,20,0.9375
10,2.2,5,22,0.9375
11,2.090909,5,23,0.9375
12,2,5,24,0.9375
13,2,5,26,0.9375
14,2,5,28,0.9375
15,1.933333,5,29,0.9375
16,1.9375,5,31,0.9375
17,1.882353,5,32,0.9375
18,1.888889,5,34,0.9375
19,1.894737,5,36,0.9375
20,1.85,5,37,0.9375
21,1.857143,5,39,0.9375
22,1.818182,5,40,0.9375
23,1.782609,5,41,0.9375
24,1.791667,5,43,0.9375
25,1.8,5,45,0.9375
26,1.769231,4,46,0.9375
27,1.777778,4,48,0.9375
28,1.75,5,49,0.9375
29,1.758621,4,51,0.9375
30,1.733333,5,52,0.9375
31,1.741935,4,54,0.9375
32,1.6875,4,54,0.9375
33,1.69697,4,56,0.9375
34,1.676471,4,57,0.9375
35,1.628571,4,57,0.9375
36,1.638889,4,59,0.9375
37,1.648649,4,61,0.9375
38,1.631579,4,62,0.9375
39,1.641026,4,64,0.9375
40,1.625,4,65,0.9375
41,1.634146,4,67,0.9375
42,1.619048,4,68,0.9375
43,1.604651,4,69,0.9375
44,1.590909,4,70,0.9375
45,1.6,4,72,0.9375
46,1.586957,4,73,0.9375
47,1.553191,4,73,0.9375
48,1.583333,4,76,0.9375
49,1.571429,4,77,0.9375
1,4,3,4,0.941176
2,3.5,3,7,0.941176
3,3.333333,5,10,0.941176
4,3,5,12,0.941176
5,2.8,5,14,0.941176
6,2.5,5,15,0.941176
7,2.428571,5,17,0.941176
8,2.375,5,19,0.941176
9,2.222222,5,20,0.941176
10,2.1,5,21,0.941176
11,2.090909,5,23,0.941176
12,2,5,24,0.941176
13,2,5,26,0.941176
14,2,5,28,0.941176
15,2,5,30,0.941176
16,1.9375,5,31,0.941176
17,1.882353,5,32,0.941176
18,1.888889,5,34,0.941176
19,1.894737,5,36,0.941176
20,1.85,5,37,0.941176
21,1.857143,5,39,0.941176
22,1.818182,5,40,0.941176
23,1.826087,5,42,0.941176
24,1.791667,5,43,0.941176
25,1.8,5,45,0.941176
26,1.769231,5,46,0.941176
27,1.777778,5,48,0.941176
28,1.75,4,49,0.941176
29,1.758621,4,51,0.941176
30,1.733333,4,52,0.941176
31,1.709677,4,53,0.941176
32,1.71875,4,55,0.941176
33,1.69697,4,56,0.941176
34,1.676471,4,57,0.941176
35,1.685714,4,59,0.941176
36,1.638889,4,59,0.941176
37,1.675676,4,62,0.941176
38,1.657895,4,63,0.941176
39,1.641026,4,64,0.941176
40,1.625,4,65,0.941176
41,1.609756,4,66,0.941176
42,1.619048,4,68,0.941176
43,1.627907,4,70,0.941176
44,1.590909,4,70,0.941176
45,1.6,4,72,0.941176
46,1.586957,4,73,0.941176
47,1.595745,4,75,0.941176
48,1.583333,4,76,0.941176
49,1.571429,4,77,0.941176
1,4,3,4,0.944444
2,4,3,8,0.944444
3,3.333333,5,10,0.944444
4,3,5,12,0.944444
5,2.8,5,14,0.944444
6,2.5,5,15,0.944444
7,2.428571,5,17,0.944444
8,2.375,5,19,0.944444
9,2.222222,5,20,0.944444
10,2.2,5,22,0.944444
11,2.090909,5,23,0.944444
12,2,5,24,0.944444
13,2,5,26,0.944444
14,2,5,28,0.944444
15,2,5,30,0.944444
16,1.9375,5,31,0.944444
17,1.941176,5,33,0.944444
18,1.888889,5,34,0.944444
19,1.894737,5,36,0.944444
20,1.85,5,37,0.944444
21,1.857143,5,39,0.944444
22,1.818182,5,40,0.944444
23,1.826087,5,42,0.944444
24,1.791667,5,43,0.944444
25,1.8,5,45,0.944444
26,1.769231,5,46,0.944444
27,1.777778,5,48,0.944444
28,1.75,5,49,0.944444
29,1.758621,4,51,0.944444
30,1.766667,4,53,0.944444
31,1.741935,4,54,0.944444
32,1.71875,4,55,0.944444
33,1.69697,4,56,0.944444
34,1.735294,4,59,0.944444
35,1.685714,4,59,0.944444
36,1.694444,4,61,0.944444
37,1.675676,4,62,0.944444
38,1.657895,4,63,0.944444
39,1.666667,4,65,0.944444
40,1.65,4,66,0.944444
41,1.634146,4,67,0.944444
42,1.619048,4,68,0.944444
43,1.627907,4,70,0.944444
44,1.613636,4,71,0.944444
45,1.6,4,72,0.944444
46,1.608696,4,74,0.944444
47,1.595745,4,75,0.944444
48,1.583333,4,76,0.944444
49,1.591837,4,78,0.944444
1,4,3,4,0.947368
2,4,3,8,0.947368
3,3.333333,5,10,0.947368
4,3,5,12,0.947368
5,2.8,5,14,0.947368
6,2.666667,5,16,0.947368
7,2.428571,5,17,0.947368
8,2.375,5,19,0.947368
9,2.222222,5,20,0.947368
10,2.2,5,22,0.947368
11,2.090909,5,23,0.947368
12,2,5,24,0.947368
13,2,5,26,0.947368
14,2,5,28,0.947368
15,2,5,30,0.947368
16,1.9375,5,31,0.947368
17,1.941176,5,33,0.947368
18,1.888889,5,34,0.947368
19,1.894737,5,36,0.947368
20,1.85,5,37,0.947368
21,1.857143,5,39,0.947368
22,1.863636,5,41,0.947368
23,1.826087,5,42,0.947368
24,1.791667,5,43,0.947368
25,1.8,5,45,0.947368
26,1.807692,5,47,0.947368
27,1.777778,5,48,0.947368
28,1.75,5,49,0.947368
29,1.758621,5,51,0.947368
30,1.766667,4,53,0.947368
31,1.741935,5,54,0.947368
32,1.71875,4,55,0.947368
33,1.69697,4,56,0.947368
34,1.705882,4,58,0.947368
35,1.714286,4,60,0.947368
36,1.638889,4,59,0.947368
37,1.675676,4,62,0.947368
38,1.684211,4,64,0.947368
39,1.666667,4,65,0.947368
40,1.65,4,66,0.947368
41,1.634146,4,67,0.947368
42,1.642857,4,69,0.947368
43,1.627907,4,70,0.947368
44,1.613636,4,71,0.947368
45,1.622222,4,73,0.947368
46,1.630435,4,75,0.947368
47,1.595745,4,75,0.947368
48,1.583333,4,76,0.947368
49,1.591837,4,78,0.947368
1,4,3,4,0.95
2,4,3,8,0.95
3,3.333333,5,10,0.95
4,3,5,12,0.95
5,2.8,5,14,0.95
6,2.666667,5,16,0.95
7,2.428571,5,17,0.95
8,2.375,5,19,0.95
9,2.333333,5,21,0.95
10,2.2,5,22,0.95
11,2.181818,5,24,0.95
12,2,5,24,0.95
13,2,5,26,0.95
14,2,5,28,0.95
15,2,5,30,0.95
16,1.9375,5,31,0.95
17,1.941176,5,33,0.95
18,1.888889,5,34,0.95
19,1.894737,5,36,0.95
20,1.85,5,37,0.95
21,1.857143,5,39,0.95
22,1.818182,5,40,0.95
23,1.826087,5,42,0.95
24,1.791667,5,43,0.95
25,1.8,5,45,0.95
26,1.807692,5,47,0.95
27,1.777778,5,48,0.95
28,1.785714,5,50,0.95
29,1.758621,5,51,0.95
30,1.733333,4,52,0.95
31,1.774194,4,55,0.95
32,1.75,4,56,0.95
33,1.727273,4,57,0.95
34,1.705882,4,58,0.95
35,1.714286,4,60,0.95
36,1.694444,4,61,0.95
37,1.675676,4,62,0.95
38,1.657895,4,63,0.95
